Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,dimmable,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLAUCA37CE14D,5W CA37 E14 CWD,,,,,R 206.64,,,Candle,Hours Per Year,Yes,0.005,0.005,AURORA,CANDLE TIP,SURFACED,CANDLE TIP,,,,,,,,,E14,320,4000K,C,48,,,,,,,E14 - 25W - Candle,E14 - 35W - Candle,E14 - 60W - Candle,,,,,,,,,,,,,,,,,
FLED10W,10W FLOODLIGHT,,,,,R 383.50,,,Floodlight,Hours Per Year,Yes,0.01,0.01,AURORA,FLOODLIGHT,SURFACED,FLOODLIGHT,,,,,,,,,FLOOD,650,6000K,D,24,,,,,,,HPS - 150W - Floodlight,MH - 125W - Floodlight,MH - 150W - Floodlight,MV - 125W - Floodlight,Halogen - 25W - Floodlight,Halogen - 30W - Floodlight,Halogen - 50W - Floodlight,Halogen - 70W - Floodlight,Halogen - 100W - Floodlight,Halogen - 110W - Floodlight,Halogen - 125W - Floodlight,Halogen - 150W - Floodlight,CFL - 85W - Floodlight,,,,,,,
FLED10WS,10WS FLOODLIGHT,,,,,R 639.27,,,Floodlight,Hours Per Year,Yes,0.01,0.01,AURORA,FLOODLIGHT,SURFACED,FLOODLIGHT,,,,,,,,,FLOOD,650,6000K,D,24,,,,,,,HPS - 150W - Floodlight,MH - 125W - Floodlight,MH - 150W - Floodlight,MV - 125W - Floodlight,Halogen - 25W - Floodlight,Halogen - 30W - Floodlight,Halogen - 50W - Floodlight,Halogen - 70W - Floodlight,Halogen - 100W - Floodlight,Halogen - 110W - Floodlight,Halogen - 125W - Floodlight,Halogen - 150W - Floodlight,CFL - 85W - Floodlight,,,,,,,
FLED20W,20W FLOODLIGHT,,,,,R 795.54,,,Floodlight,Hours Per Year,Yes,0.02,0.02,AURORA,FLOODLIGHT,SURFACED,FLOODLIGHT,,,,,,,,,FLOOD,1400,6000K,D,24,,,,,,,HPS - 150W - Floodlight,MH - 125W - Floodlight,MH - 150W - Floodlight,MH - 200W - Floodlight,MV - 125W - Floodlight,MV - 160W - Floodlight,MV - 175W - Floodlight,Halogen - 70W - Floodlight,Halogen - 100W - Floodlight,Halogen - 110W - Floodlight,Halogen - 125W - Floodlight,Halogen - 150W - Floodlight,CFL - 85W - Floodlight,CFL - 100W - Floodlight,CFL - 105W - Floodlight,CFL - 125W - Floodlight,CFL - 150W - Floodlight,,,
FLED20WS,20WS FLOODLIGHT,,,,,R 995.25,,,Floodlight,Hours Per Year,Yes,0.02,0.02,AURORA,FLOODLIGHT,SURFACED,FLOODLIGHT,,,,,,,,,FLOOD,1400,6000K,D,24,,,,,,,HPS - 150W - Floodlight,MH - 125W - Floodlight,MH - 150W - Floodlight,MH - 200W - Floodlight,MV - 125W - Floodlight,MV - 160W - Floodlight,MV - 175W - Floodlight,Halogen - 70W - Floodlight,Halogen - 100W - Floodlight,Halogen - 110W - Floodlight,Halogen - 125W - Floodlight,Halogen - 150W - Floodlight,CFL - 85W - Floodlight,CFL - 100W - Floodlight,CFL - 105W - Floodlight,CFL - 125W - Floodlight,CFL - 150W - Floodlight,,,
FLED30W,30W FLOODLIGHT,,,,,R 936.00,,,Floodlight,Hours Per Year,Yes,0.03,0.03,AURORA,FLOODLIGHT,SURFACED,FLOODLIGHT,,,,,,,,,FLOOD,1800,6000K,D,24,,,,,,,HPS - 150W - Floodlight,HPS - 250W - Floodlight,MH - 125W - Floodlight,MH - 150W - Floodlight,MH - 200W - Floodlight,MH - 250W - Floodlight,MV - 125W - Floodlight,MV - 160W - Floodlight,MV - 175W - Floodlight,MV - 250W - Floodlight,Halogen - 100W - Floodlight,Halogen - 110W - Floodlight,Halogen - 125W - Floodlight,Halogen - 150W - Floodlight,Halogen - 200W - Floodlight,Halogen - 250W - Floodlight,CFL - 105W - Floodlight,CFL - 125W - Floodlight,CFL - 150W - Floodlight,CFL - 175W - Floodlight
FLED50W,50W FLOODLIGHT,,,,,R 1 463.48,,,Floodlight,Hours Per Year,Yes,0.05,0.05,AURORA,FLOODLIGHT,SURFACED,FLOODLIGHT,,,,,,,,,FLOOD,3055,6000K,D,24,,,,,,,HPS - 250W - Floodlight,HPS - 400W - Floodlight,MH - 200W - Floodlight,MH - 250W - Floodlight,MH - 400W - Floodlight,MV - 175W - Floodlight,MV - 250W - Floodlight,MV - 400W - Floodlight,Halogen - 125W - Floodlight,Halogen - 150W - Floodlight,Halogen - 200W - Floodlight,Halogen - 250W - Floodlight,CFL - 105W - Floodlight,CFL - 125W - Floodlight,CFL - 150W - Floodlight,CFL - 175W - Floodlight,CFL - 180W - Floodlight,CFL - 200W - Floodlight,,
FLIQA19B22CD,9W A19 B22 CW,,,,,R 194.94,,,GLS,Hours Per Year,Yes,0.009,0.009,ELLIES,GLS,SURFACED,GLS,,,,,,,,,B22,620,3900K,N,12,,,,,,,B22 - 60W,B22 - 75W,B22 - 100W,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FLIQA19B22WD,9W A19 B22 WW,,,,,R 221.00,,,GLS,Hours Per Year,Yes,0.009,0.009,ELLIES,GLS,SURFACED,GLS,,,,,,,,,B22,600,2900K,W,12,,,,,,,B22 - 60W,B22 - 75W,B22 - 100W,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FLIQGU10WD,4.5W GU10 IQ WW,,,,,R 170.87,,,Downlight,Hours Per Year,Yes,0.0045,0.0045,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,GU10,300,2900K,W,12,,,,,,,GU10 - 20W - 230V,GU10 - 35W - 230V,GU10 - 42W - 230V,GU10 - 50W - 230V,,,,,,,,,,,,,,,,
