Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20,
FLGA60WE27,7W A60 WW E27,R 89.88,10.00%,20.00%,30.00%,R 141.56,,,GLS,Hours Per Year,Yes,0.007,0.007525,Aurora,GLS,GLS,Surfaced,R 0.27,0.051282051,0.051282051,Retro ,15,5,10,,E27,480,3000,WW,36,,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incandescent,E27 - 75W - Incandescent,E27 - 100W - Incandescent,E27 - 28W - Halogen GLS,E27 - 42W - Halogen GLS,,,,,,,,,,,,,
FLGA60CE27,7W A60 CW E27  ,R 89.88,10.00%,20.00%,30.00%,R 141.56,,,GLS,Hours Per Year,Yes,0.005,0.005375,Aurora,GLS,GLS,Surfaced,R 0.27,0.051282051,0.051282051,Retro,15,5,10,,E27,480,4000,CW,36,,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incandescent,E27 - 75W - Incandescent,E27 - 100W - Incandescent,E27 - 28W - Halogen GLS,E27 - 42W - Halogen GLS,,,,,,,,,,,,,
FLGA60WB22,7W A60 WW B22,R 89.88,10.00%,20.00%,30.00%,R 141.56,,,GLS,Hours Per Year,Yes,0.007,0.007525,Aurora,GLS,GLS,Surfaced,R 0.27,,,Retro,15,5,10,,B22,480,3000,WW,36,,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 60W - Incandescent,B22 - 75W - Incandescent,B22 - 100W - Incandescent,B22 - 28W - Halogen GLS,B22 - 42W - Halogen GLS,,,,,,,,,,,,,
FLGA60CB22,7W A60 CW B22,R 90.13,10.00%,20.00%,30.00%,R 141.56,,,GLS,Hours Per Year,Yes,0.007,0.007525,Aurora,GLS,GLS,Surfaced,R 0.27,,,Retro,15,5,10,,B22,480,4000,CW,36,,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 60W - Incandescent,B22 - 75W - Incandescent,B22 - 100W - Incandescent,B22 - 28W - Halogen GLS,B22 - 42W - Halogen GLS,,,,,,,,,,,,,
FLCG45CE14D,5W Golf Ball CW E14 Dim ,R 88.39,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,4000,CW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 40W - Incandescent,E14 - 28W - Halogen GLS,,,,,,,,,,,,,,
FLCG45WE14D,5W Golf Ball WW E14 Dim ,R 88.39,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,3000,WW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 40W - Incandescent,E14 - 28W - Halogen GLS,,,,,,,,,,,,,,
FLCG45CB22D,5W Golf Ball CW B22 Dim,R 88.39,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,B22,320,4000,CW,36,,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 60W - Incandescent,B22 - 75W - Incandescent,B22 - 40W - Incandescent Candle,B22 - 28W - Halogen GLS,,,,,,,,,,,,,,
FLCG45WB22D,5W Golf Ball WW B22 Dim ,R 88.75,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf ball ,Golf ball ,Surfaced,R 0.27,,,Retro,15,5,10,,B22,320,3000,WW,36,,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 60W - Incandescent,B22 - 75W - Incandescent,B22 - 40W - Incandescent Candle,B22 - 28W - Halogen GLS,,,,,,,,,,,,,,
FLCG45CE27D,5W Golf Ball CW E27 Dim,R 88.19,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf ball,Golf ball,Surfaced,R 0.26,,,Retro,15,5,10,,E27,320,4000,CW,36,,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incandescent,E27 - 75W - Incandescent,E27 - 40W - Incandescent,E27 - 28W - Halogen GLS,,,,,,,,,,,,,,
FLCG45WE27D,5W Golf Ball WW E27 Dim ,R 88.39,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E27,320,3000,WW,36,,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incandescent,E27 - 75W - Incandescent,E27 - 40W - Incandescent,E27 - 28W - Halogen GLS,,,,,,,,,,,,,,
