Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLCG45CE14D,5W Golf Ball CW E14 Dim ,R 88.39,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,4000,CW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 40W - Incandescent,E14 - 28W - Halogen GLS,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,E14 - 32W - CFL,,,,,,,,,
FLCG45WE14D,5W Golf Ball WW E14 Dim ,R 88.39,10.00%,20.00%,30.00%,R 161.96,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,3000,WW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 40W - Incandescent,E14 - 28W - Halogen GLS,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,E14 - 32W - CFL,,,,,,,,,
FLED10W,10W LED Floodlight,R 203.01,10.00%,20.00%,30.00%,R 224.96,,,Floodlight,Hours Per Year,Yes,0.01,0.01075,Aurora,Floodlight,Floodlight,Surfaced,R 0.61,0.102564103,0.102564103,Retro,0,10,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 35W - Spot,,,,,,,,
FLED20W,20W LED Floodlight,R 273.46,10.00%,20.00%,30.00%,R 460.76,,,Floodlight,Hours Per Year,Yes,0.02,0.0215,Aurora,Floodlight,Floodlight,Surfaced,R 0.82,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 35W - Spot,,,,,,,,
FLED30W,30W LED Floodlight,R 412.14,10.00%,20.00%,30.00%,R 648.00,,,Floodlight,Hours Per Year,Yes,0.03,0.03225,Aurora,Floodlight,Floodlight,Surfaced,R 1.24,0.307692308,0.307692308,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood MH - E40 400W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - E27 125W,Flood MV - E40 250W,Flood MBL - 160W,Flood MBL - 250W,Flood CFL - 1 X 85W,G12 - 150W - Spot,G12 - 70W - Spot,G12 - 35W - Spot,,,,
FLED50W,50W LED Floodlight,R 601.52,10.00%,20.00%,30.00%,R 1 013.18,,,Floodlight,Hours Per Year,Yes,0.05,0.05375,Aurora,Floodlight,Floodlight,Surfaced,R 1.80,0.512820513,0.512820513,Retro,0,30,50,,Flood,3400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood MH - E40 400W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - E27 125W,Flood MV - E40 250W,Flood MV - E40 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,G12 - 150W - Spot,G12 - 70W - Spot,G12 - 35W - Spot,,
FLED10WS,10W LED Flood with sensor,R 246.49,10.00%,20.00%,30.00%,R 415.76,,,Floodlight,Hours Per Year,Yes,0.01,0.01075,Aurora,Floodlight,Floodlight,Surfaced,R 0.74,0.102564103,0.102564103,Retro,0,60,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 70W - Spot,G12 - 35W - Spot,,,,,,,
FLED20WS,20W LED Flood with sensor,R 399.15,10.00%,20.00%,30.00%,R 647.96,,,Floodlight,Hours Per Year,Yes,0.02,0.0215,Aurora,Floodlight,Floodlight,Surfaced,R 1.20,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 70W - Spot,G12 - 35W - Spot,,,,,,,
FLCC5B22WD,5W Candle WW B22 Dimmable,R 103.56,10.00%,20.00%,30.00%,R 202.50,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle,Candle,Surfaced,R 0.31,0.051282051,0.051282051,Retro,30,10,30,,B22,300,3000,WW,36,,,,,,B22 - 60W - Incandescent Candle,B22 - 28W - Halogen Candle,B22 - 42W - Halogen Candle,B22 - 40W - Incandescent Candle,B22 - 60W - Candle,B22 - 40W - Candle,B22 - 32W - CFL,,,,,,,,,,,,,
FLCC5E14WD,5W Candle WW E14 Dimmable,R 90.84,10.00%,20.00%,30.00%,R 143.06,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle,Candle,Surfaced,R 0.27,0.051282051,0.051282051,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,E14 - 60W - Candle,E14 - 40W - Candle,E14 - 32W - CFL,,,,,,,,,,,,,
