Code,Product,Cost,Price - A,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLCG45CE14D,5W Golf Ball CW E14 Dim ,R 58.00,R 75.40,Golf Ball,Hours Per Year,Yes,0.005,0.005,Aurora,Golf Ball,Golf Ball,Recessed,R 0.27,,,Retro,15,5,10,,E14,320,4000,CW,36,0,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 32W - CFL,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,,,,,,,,,,,
FLCG45WE14D,5W Golf Ball WW E14 Dim ,R 58.00,R 75.40,Golf Ball,Hours Per Year,Yes,0.005,0.005,Aurora,Golf Ball,Golf Ball,Recessed,R 0.27,,,Retro,15,5,10,,E14,320,3000,WW,36,0,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 32W - CFL,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,,,,,,,,,,,
FLED10W,10W LED Floodlight,R 199.00,R 258.70,Floodlight,Hours Per Year,Yes,0.01,0.01,Aurora,Floodlight,Floodlight,Surfaced,R 0.61,0.102564103,0.102564103,Retro,0,10,50,,Flood,600,6000,DL,60,0,,,,,Flood - HPS - 150W,Flood - MH - 150W,Flood - Hal - 150W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,,
FLED20W,20W LED Floodlight,R 320.00,R 416.00,Floodlight,Hours Per Year,Yes,0.02,0.02,Aurora,Floodlight,Floodlight,Surfaced,R 0.82,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,0,,,,,Flood - HPS - 150W,Flood - MH - 150W,Flood - MH - 200W,Flood - Hal - 150W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,
FLED50W,50W LED Floodlight,R 699.00,R 908.70,Floodlight,Hours Per Year,Yes,0.05,0.05,Aurora,Floodlight,Floodlight,Surfaced,R 1.80,0.512820513,0.512820513,Retro,0,30,50,,Flood,3400,6000,DL,60,0,,,,,Flood - HPS - 250W,Flood - HPS - 400W,Flood - MH - 200W,Flood - MH - 250W,Flood - MH - 400W,Flood - MV - 250W,Flood - MV - 400W,Flood - Hal - 150W,Flood - Hal - 200W,Flood - Hal - 250W,Flood CFL - 1 X 85W,,,,,,,,,
FLED10WS,10W LED Flood with sensor,R 154.00,R 200.20,Floodlight,Hours Per Year,Yes,0.01,0.01,Aurora,Floodlight,Floodlight,Surfaced,R 0.74,0.102564103,0.102564103,Retro,0,60,50,,Flood,600,6000,DL,60,0,,,,,Flood - HPS - 150W,Flood - MH - 150W,Flood - Hal - 150W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,,
FLED20WS,20W LED Flood with sensor,R 765.58,R 995.25,Floodlight,Hours Per Year,Yes,0.02,0.02,Aurora,Floodlight,Floodlight,Surfaced,R 1.20,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,0,,,,,Flood - HPS - 150W,Flood - MH - 150W,Flood - MH - 200W,Flood - Hal - 150W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,
FLIQ24T8DL,24W LED T8 1500mm 5ft DL,R 377.98,R 491.37,Industrial,Hours Per Year,Yes,0.024,0.024,Azoteq,LED Tube ,Industrial,Surfaced,R 0.57,,,Retro / Rewire ,25,20,20,,T8,2064,5700,DL,36,0,,,,,T8 - 1 X 58W - 5 foot,T8 - 2 X 58W - 5 foot,T12 - 1 X 65W - 5 foot,T12 - 2 X 65W - 5 foot,,,,,,,,,,,,,,,,
FLSLR6C,6W Slim Round D/light CW,R 110.00,R 143.00,Integrated,Hours Per Year,Yes,0.006,0.006,Opple,Integrated,Peter,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,4100,CW,36,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,MR16 - 20W,MR16 - 35W,MR16 - 42W,MR16 - 50W,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,,,
FLSLR6W,6W Slim Round D/light WW,R 110.00,R 143.00,Integrated,Hours Per Year,Yes,0.006,0.006,Opple,Integrated,Peter,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,3100,WW,36,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,MR16 - 20W,MR16 - 35W,MR16 - 42W,MR16 - 50W,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,
