Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
E14 - 25W - Golf Ball,Exi0000001,E14,"E14,20 - 40w",Incandescent,Hours Per Year,0.025,0,5,5,1000
E14 - 35W - Golf Ball,Exi0000002,E14,"E14,20 - 40w",Incandescent,Hours Per Year,0.035,0,5,5,1000
E14 - 60W - Golf Ball,Exi0000003,E14,"E14,60 - 100w",Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 11W - CFL,Exi0000004,B22,B22 - CFL,CFL,Hours Per Year,0.011,0,5,5,6000
B22 - 14W - CFL,Exi0000005,B22,B22 - CFL,CFL,Hours Per Year,0.014,0,5,5,6000
B22 - 15W - CFL,Exi0000006,B22,B22 - CFL,CFL,Hours Per Year,0.015,0,5,5,6000
Flood MH - 250W,Exi0000007,Floodlight,HID Floodlight,MH,Hours Per Year,0.25,0,5,5,10000
Flood MH - 150W,Exi0000008,Floodlight,HID Floodlight,MH,Hours Per Year,0.15,0,5,5,10000
Flood MH - 70W,Exi0000009,Floodlight,HID Floodlight,MH,Hours Per Year,0.07,0,5,5,10000
Flood MV - 250W,Exi0000010,Floodlight,HID Floodlight,MV,Hours Per Year,0.25,0,5,5,10000
Flood MV - 125W,Exi0000011,Floodlight,HID Floodlight,MV,Hours Per Year,0.125,0,5,5,10000
Flood MV - 80W,Exi0000012,Floodlight,HID Floodlight,MV,Hours Per Year,0.08,0,5,5,10000
Flood HPS - 250W,Exi0000013,Floodlight,HID Floodlight,HPS,Hours Per Year,0.25,0,5,5,23000
Flood HPS - 150W,Exi0000014,Floodlight,HID Floodlight,HPS,Hours Per Year,0.15,0,5,5,23000
Flood HPS - 70W,Exi0000015,Floodlight,HID Floodlight,HPS,Hours Per Year,0.07,0,5,5,23000
Flood MH - 1000W,Exi0000016,Floodlight,HID Floodlight,MH,Hours Per Year,1,0,5,5,10000
Flood MH - 400W,Exi0000017,Floodlight,HID Floodlight,MH,Hours Per Year,0.4,0,5,5,10000
Flood MV - 1000W,Exi0000018,Floodlight,HID Floodlight,MV,Hours Per Year,1,0,5,5,10000
Flood MV - 400W,Exi0000019,Floodlight,HID Floodlight,MV,Hours Per Year,0.4,0,5,5,10000
Flood HPS - 1000W,Exi0000020,Floodlight,HID Floodlight,HPS,Hours Per Year,1,0,5,5,23000
Flood HPS - 400W,Exi0000021,Floodlight,HID Floodlight,HPS,Hours Per Year,0.4,0,5,5,23000
MR16 - 50W,Exi0000022,MR16,MR16,Halogen,Hours Per Year,0.05,0,5,5,1000
MR16 - 35W,Exi0000023,MR16,MR16,Halogen,Hours Per Year,0.035,0,5,5,1000
GU10 - 50W,Exi0000024,GU10,GU10,Halogen,Hours Per Year,0.05,0,5,5,1000
GU10 - 35W,Exi0000025,GU10,GU10,Halogen,Hours Per Year,0.035,0,5,5,1000
B22 - 40W - GLS,Exi0000026,B22,"B22,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
E27 - 60W - Candle,Exi0000027,E27,"E27,40 - 60w",Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 60W - Candle,Exi0000028,B22,"B22,40 - 60w",Incandescent,Hours Per Year,0.06,0,5,5,1000
E14 - 60W - Candle,Exi0000029,E14,"E14,40 - 60w",Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 40W - Candle,Exi0000030,E27,"E27,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
B22 - 40W - Candle,Exi0000031,B22,"B22,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
E14 - 40W - Candle,Exi0000032,E14,"E14,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
E27 - 60W - R63,Exi0000033,E27,R,Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 100W - R80,Exi0000034,E27,R,Incandescent,Hours Per Year,0.1,0,5,5,1000
Flood MH - 35W,Exi0000037,Floodlight,HID Floodlight,MH,Hours Per Year,0.035,0,5,5,1000
T8 - 1 X 18W - 2 foot,Exi0000038,T8,T8 - 1 X,Fluorescent,Hours Per Year,0.018,0,5,5,8000
T8 - 2 X 18W - 2 foot,Exi0000039,T8,T8 - 2 X,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 1 X 36W - 4 foot,Exi0000040,T8,T8 - 1 X,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 2 X 36W - 4 foot,Exi0000041,T8,T8 - 2 X,Fluorescent,Hours Per Year,0.072,0,5,5,8000
T12 - 2 X 40W - 4 foot,Exi0000042,T12,T12 - 2 X,Fluorescent,Hours Per Year,0.08,0,5,5,6000
T12 - 2 X 65W - 5 foot,Exi0000043,T12,T12 - 2 X,Fluorescent,Hours Per Year,0.13,0,5,5,6000
GU10 - 2 X 50W - Recessed,Exi0000045,GU10,GU10 - 2 X,Halogen,Hours Per Year,0.1,0,5,5,1000
GU10 - 1 X 50W - Recessed,Exi0000046,GU10,GU10 - 1 X,Halogen,Hours Per Year,0.05,0,5,5,1000
PL 2 Pin - 1 X 7W,Exi0000047,2 Pin,2 Pin - 1 X,PL,Hours Per Year,0.007,0,5,5,6000
PL 2 Pin - 1 X 9W,Exi0000048,2 Pin,2 Pin - 1 X,PL,Hours Per Year,0.009,0,5,5,6000
PL 2 Pin - 1 X 18W,Exi0000049,2 Pin,2 Pin - 1 X,PL,Hours Per Year,0.018,0,5,5,6000
PL 2 Pin - 1 X 26W,Exi0000050,2 Pin,2 Pin - 1 X,PL,Hours Per Year,0.026,0,5,5,6000
PL 4 Pin - 1 X 13W,Exi0000051,4 Pin,4 Pin - 1 X,PL,Hours Per Year,0.013,0,5,5,6000
PL 4 Pin - 1 X 18W,Exi0000052,4 Pin,4 Pin - 1 X,PL,Hours Per Year,0.018,0,5,5,6000
PL 4 Pin - 1 X 26W,Exi0000053,4 Pin,4 Pin - 1 X,PL,Hours Per Year,0.026,0,5,5,6000
T8 - 3 X 18W - 2 foot,Exi0000054,T8,T8 - 3 X,Fluorescent,Hours Per Year,0.054,0,5,5,8000
PL 4 Pin - 2 X 24W,Exi0000055,4 Pin,4 Pin - 2 X,PL,Hours Per Year,0.048,0,5,5,10000
PL 4 Pin - 2 X 11W,Exi0000056,4 Pin,4 Pin - 2 X,PL,Hours Per Year,0.022,0,5,5,6000
PL 2 Pin - 2 X 11W,Exi0000057,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.022,0,5,5,6000
PL 2 Pin - 2 X 9W,Exi0000058,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.018,0,5,5,6000
PL 2 Pin - 2 X 7W,Exi0000059,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.014,0,5,5,6000
PL 2 Pin - 2 X 10W,Exi0000060,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.02,0,5,5,6000
PL 2 Pin - 2 X 13W,Exi0000061,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.026,0,5,5,6000
PL 2 Pin - 2 X 18W,Exi0000062,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.036,0,5,5,6000
PL 2 Pin - 2 X 26W,Exi0000063,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.052,0,5,5,6000
PL 4 Pin - 2 X 13W,Exi0000064,4 Pin,4 Pin - 2 X,PL,Hours Per Year,0.026,0,5,5,6000
PL 4 Pin - 2 X 18W,Exi0000065,4 Pin,4 Pin - 2 X,PL,Hours Per Year,0.036,0,5,5,6000
PL 4 Pin - 2 X 26W,Exi0000066,4 Pin,4 Pin - 2 X,PL,Hours Per Year,0.052,0,5,5,6000
T8 - 3 X 36W - 4 foot,Exi0000067,T8,T8 - 3 X,Fluorescent,Hours Per Year,0.108,0,5,5,8000
T8 - 2 X 58W - 5 foot,Exi0000068,T8,T8 - 2 X,Fluorescent,Hours Per Year,0.116,0,5,5,8000
Highbay CFL - 105W,Exi0000069,E40,Highbay,CFL,Hours Per Year,0.105,0,5,5,10000
