Tech_Type,Option,New_Product_Code,Old_Tech_Type,New_Tech_Type,Related_To,Uses_KW,Old_KWh,New_KWh,Old_Litres,New_Litres,Price,Has_Stock
Halogen,50W - GU10 - Downlight To LED ECO 4W GU10 180Lm COLD WHITE,FLEDGU10C,NULL,LED_HAL,Hours Per Year,1,0.05,0.004,0,0,109.99,1
Halogen,50W - GU10 - Downlight To LED ECO 4W GU10 180Lm WARM WHITE,FLEDGU10W,NULL,LED_HAL,Hours Per Year,1,0.05,0.004,0,0,109.99,1
Halogen,50W - MR16 - Downlight To LED ECO 4W MR16 180Lm COLD WHITE,FLEDMR16C,NULL,LED_HAL,Hours Per Year,1,0.05,0.004,0,0,119.99,1
Halogen,50W - MR16 - Downlight To LED ECO 4W MR16 180Lm WARM WHITE,FLEDMR16W,NULL,LED_HAL,Hours Per Year,1,0.05,0.004,0,0,119.99,1
IncandescentCFL,60W - B22  To Energy Saver 11W B22 2U-2700K (Warm White),FL11B222UW,NULL,CFL,Hours Per Year,1,0.06,0.011,0,0,24.99,1
IncandescentCFL,60W - B22  To Energy Saver 11W B22 2U-6500K (Cold White),FL11B222U,NULL,CFL,Hours Per Year,1,0.06,0.011,0,0,24.99,1
IncandescentCFL,60W - B22 To Energy Saver 11W B22 3U-2700K (Warm White),FL11B223UW,NULL,CFL,Hours Per Year,1,0.06,0.011,0,0,29.99,1
IncandescentCFL,60W - B22 To Energy Saver 11W B22 3U-6500K (Cold White),FL11B223U,NULL,CFL,Hours Per Year,1,0.06,0.011,0,0,29.99,1
IncandescentCFL,60W - E14 To Energy Saver 11W E14 3U-2700K (Warm White),FL11E143UW,NULL,CFL,Hours Per Year,1,0.06,0.011,0,0,29.99,1
IncandescentCFL,60W - E14 To Energy Saver 11W E14 3U-6500K (Cold White),FL11E143U,NULL,CFL,Hours Per Year,1,0.06,0.011,0,0,29.99,1
IncandescentCFL,60W - E27 To Energy Saver 11W E27 2U-6500K (Cold White),FL11E272U,NULL,CFL,Hours Per Year,1,0.06,0.011,0,0,24.99,1
